Team,Year,Salary
ATL,1990,11761000
ATL,1991,12930000
ATL,1992,18036000
ATL,1993,22510000
ATL,1994,21869340
ATL,1995,21702000
ATL,1996,25806100
ATL,1997,30133827
ATL,1998,40954940
ATL,1999,44169202
ATL,2000,39297129
ATL,2001,51525207
ATL,2002,55711549
ATL,2003,64497340
ATL,2004,41059616
ATL,2005,42944553
ATL,2006,48581972
ATL,2007,55501133
ATL,2008,68168841
ATL,2009,65883642
ATL,2010,71469843
ATL,2011,73669912
ATL,2012,66768365
ATL,2013,55131673
ATL,2014,58337671
ATL,2015,71453126
ATL,2016,96007250
ATL,2017,99002495
BOS,1990,11256000
BOS,1991,25343000
BOS,1992,25217000
BOS,1993,17881000
BOS,1994,21162000
BOS,1995,18229000
BOS,1996,25853500
BOS,1997,26800500
BOS,1998,32258856
BOS,1999,46152875
BOS,2000,51478707
BOS,2001,47515677
BOS,2002,52548195
BOS,2003,60185915
BOS,2004,64577356
BOS,2005,56907300
BOS,2006,0
BOS,2007,0
BOS,2008,79188973
BOS,2009,83552174
BOS,2010,82045867
BOS,2011,79820530
BOS,2012,0
BOS,2013,63769609
BOS,2014,61092622
BOS,2015,77202316
BOS,2016,93465328
BOS,2017,109926833
CLE,1990,14403000
CLE,1991,16882000
CLE,1992,19676000
CLE,1993,23711000
CLE,1994,28106000
CLE,1995,25730000
CLE,1996,18867500
CLE,1997,26677290
CLE,1998,27778000
CLE,1999,46547966
CLE,2000,49780549
CLE,2001,45649974
CLE,2002,49610448
CLE,2003,46186472
CLE,2004,49175274
CLE,2005,51303962
CLE,2006,62992729
CLE,2007,82217583
CLE,2008,91298233
CLE,2009,83398534
CLE,2010,53990021
CLE,2011,64875599
CLE,2012,68428583
CLE,2013,47050404
CLE,2014,82038768
CLE,2015,105962520
CLE,2016,127254579
CLE,2017,137082833
NOP,1990,0
NOP,1991,0
NOP,1992,0
NOP,1993,0
NOP,1994,0
NOP,1995,0
NOP,1996,0
NOP,1997,0
NOP,1998,0
NOP,1999,0
NOP,2000,0
NOP,2001,0
NOP,2002,44458882
NOP,2003,49800204
NOP,2004,56572882
NOP,2005,41277617
NOP,2006,53748991
NOP,2007,62609991
NOP,2008,67530808
NOP,2009,70163827
NOP,2010,68230729
NOP,2011,65441008
NOP,2012,63901224
NOP,2013,62186089
NOP,2014,69390028
NOP,2015,84384711
NOP,2016,101707386
NOP,2017,122034101
CHI,1990,10040000
CHI,1991,16829000
CHI,1992,18536000
CHI,1993,18531000
CHI,1994,0
CHI,1995,23177000
CHI,1996,58270000
CHI,1997,61330670
CHI,1998,28640500
CHI,1999,0
CHI,2000,29691907
CHI,2001,42592857
CHI,2002,44531095
CHI,2003,55489797
CHI,2004,0
CHI,2005,57166530
CHI,2006,54754904
CHI,2007,63084166
CHI,2008,68126774
CHI,2009,69700359
CHI,2010,54538076
CHI,2011,69548447
