Year,ATL,BOS,CLE,NOP,CHI,DAL,DEN,GSW,HOU,LAC,LAL,MIA,MIL,MIN,BKN,NYK,ORL,IND,PHI,PHX,POR,SAC,SAS,OKC,TOR,UTA,MEM,WAS,DET,CHA
1990,11761000,11256000,14403000,0,10040000,11693000,10335000,11150000,10500000,10245000,12120000,8510000,11595000,7540000,11410000,13290000,7532000,10981000,11640000,11463000,11215000,9605000,11057000,0,0,10695000,0,0,12910000,10417000
1991,12930000,25343000,16882000,0,16829000,13004000,11879000,12500000,13274000,12976000,15673000,11514000,12451000,10763000,12598000,12399000,12250000,15090000,14058000,13593000,12742000,12492000,11587000,0,0,12761000,0,0,15178000,12625000
1992,18036000,25217000,19676000,0,18536000,10859000,13776180,15473000,15852000,14288000,18851000,15125000,14032000,13721000,16314000,14001000,14970000,16268000,17367000,14280000,16369000,13953000,18083000,0,0,14517000,0,0,13954000,14150000
1993,22510000,17881000,23711000,0,18531000,14321000,16110000,19239000,16757000,20188000,23478000,17811000,14889000,15496000,20107000,22109000,19939000,17196000,15354000,21485000,23534000,17397000,19316365,0,0,16990000,0,0,15826000,17952000
1994,21869340,21162000,28106000,0,21636725,18053100,19925500,19797300,17578600,17876700,20158300,20142000,16256960,17523260,23071800,25748900,28919916,24768500,19709510,23170884,26658000,20209000,22721982,0,0,18315950,0,0,14798700,19346658
1995,21702000,18229000,25730000,0,23177000,21753000,19778000,22177000,24814000,21150000,19783000,20482000,23011000,22192000,22555000,38577000,30397000,23499000,17408000,34925000,23201000,24156000,25448000,0,17205000,21111000,0,0,23513000,21829000
1996,25806100,25853500,18867500,0,58270000,26107500,21243300,30867000,26275000,23336500,28838500,22421000,24222500,23880500,25426600,25923500,40149100,39480000,20369500,36140000,24903500,27820200,30785500,0,18633900,25267000,0,0,26848500,20270500
1997,30133827,26800500,26677290,0,61330670,27026948,26518960,32856469,27844350,24493625,36304583,34374186,25919828,27787780,28504567,53974881,43954299,39097273,28620520,36937876,27786719,29546350,38846163,0,24748905,28505442,0,40718075,24876625,27006013
1998,40954940,32258856,27778000,0,28640500,35565568,29392200,30985000,30297100,28417580,41872000,42844000,33703240,32331480,43735000,59945400,46118000,45114000,41509920,36101500,54438000,31692000,43393643,0,34081000,30298560,0,34018500,34699620,29914500
1999,44169202,46152875,46547966,0,27012368,40014500,43205814,36133518,52269367,22489343,55018533,52296573,44680197,42642272,53245461,71340801,41576801,54301730,43890593,46519037,73513705,40113125,42529801,0,34730320,50316720,0,53194441,42141801,38581722
2000,39297129,51478707,49780549,0,29691907,51445574,52189220,42363018,49283309,29606189,58968213,73472329,57819318,47488500,68977578,73267269,37459860,55086140,50718489,53906347,87395140,46266289,56898969,0,38313749,53893860,0,59085969,40475338,46441558
2001,51525207,47515677,45649974,0,42592857,57960080,54460475,47681152,49168169,33849932,54262017,53351186,56224266,55093782,75193712,85993039,45984001,53398621,58073366,56596369,84292850,54921012,45844814,0,52657161,52642362,50920631,54776087,42417677,49999445
2002,55711549,52548195,49610448,44458882,44531095,72940316,48759751,47737715,50044865,42955777,63151182,57378326,57995152,59518801,60412919,93452379,50435346,53472323,64473029,55225080,105595657,70416596,53182559,0,55408207,50934629,61009172,46691190,47777888,0
